timestamp,dpid,port,interval_seconds,rx_packets_delta,tx_packets_delta,rx_bytes_delta,tx_bytes_delta,rx_dropped_delta,tx_dropped_delta,rx_errors_delta,tx_errors_delta,throughput_bps,packet_rate_pps
2026-08-08 17:05:04.818857+00:00,1,1,5.004655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:09.822538+00:00,1,1,5.003681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:14.823029+00:00,1,1,5.000491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:19.823810+00:00,1,1,5.000781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:24.825953+00:00,1,1,5.002143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:29.825728+00:00,1,1,4.999775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:34.830211+00:00,1,1,5.004483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:39.830768+00:00,1,1,5.000557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:44.833844+00:00,1,1,5.003076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:49.836480+00:00,1,1,5.002636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:54.836053+00:00,1,1,4.999573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:05:59.837645+00:00,1,1,5.001592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:04.838136+00:00,1,1,5.000491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:09.839953+00:00,1,1,5.001817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:14.845184+00:00,1,1,5.005231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:19.849833+00:00,1,1,5.004649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:24.851394+00:00,1,1,5.001561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:29.854471+00:00,1,1,5.003077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:34.856517+00:00,1,1,5.002046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:39.857835+00:00,1,1,5.001318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:44.861754+00:00,1,1,5.003919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:49.862941+00:00,1,1,5.001187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:54.864651+00:00,1,1,5.00171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:06:59.867380+00:00,1,1,5.002729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:07:04.867691+00:00,1,1,5.000311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 17:07:09.867757+00:00,1,1,5.000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:58:42.878258+00:00,1,1,53493.010501,7.0,22.0,646.0,2614.0,0.0,0.0,0.0,0.0,0.39092957760545316,0.00041126868340282945
2026-08-09 07:58:47.877669+00:00,1,1,4.999411,1.0,4.0,70.0,448.0,0.0,0.0,0.0,0.0,716.8844489880908,0.8000942511027799
2026-08-09 07:58:52.881890+00:00,1,1,5.004221,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:58:57.883759+00:00,1,1,5.001869,0.0,3.0,0.0,247.0,0.0,0.0,0.0,0.0,395.0523294392556,0.5997758038045379
2026-08-09 07:59:02.884397+00:00,1,1,5.000638,3.0,3.0,238.0,238.0,0.0,0.0,0.0,0.0,380.75141611930314,0.5999234497678095
2026-08-09 07:59:07.885585+00:00,1,1,5.001188,2.0,1.0,112.0,42.0,0.0,0.0,0.0,0.0,67.18403707279151,0.19995249128806997
2026-08-09 07:59:12.885579+00:00,1,1,4.999994,0.0,3.0,0.0,247.0,0.0,0.0,0.0,0.0,395.20047424056906,0.600000720000864
2026-08-09 07:59:17.885837+00:00,1,1,5.000258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:59:22.887155+00:00,1,1,5.001318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:59:27.892083+00:00,1,1,5.004928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:59:32.892144+00:00,1,1,5.000061,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:59:37.892291+00:00,1,1,5.000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 07:59:42.893242+00:00,1,1,5.000951,0.0,1.0,0.0,107.0,0.0,0.0,0.0,0.0,171.1674439521603,0.19996196723383214
2026-08-09 07:59:47.897444+00:00,1,1,5.004202,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,111.90595423606001,0.19983206113582144
2026-08-09 07:59:52.896300+00:00,1,1,4.998856,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,112.02563146447908,0.20004577047228406
2026-08-09 07:59:57.896127+00:00,1,1,4.999827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:02.896690+00:00,1,1,5.000563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:07.899128+00:00,1,1,5.002438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:12.898473+00:00,1,1,4.999345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:17.899940+00:00,1,1,5.001467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:22.902831+00:00,1,1,5.002891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:27.902847+00:00,1,1,5.000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:32.903088+00:00,1,1,5.000241,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:37.907561+00:00,1,1,5.004473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:42.907599+00:00,1,1,5.000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:47.907947+00:00,1,1,5.000348,0.0,1.0,0.0,107.0,0.0,0.0,0.0,0.0,171.18808530926248,0.19998608096876458
2026-08-09 08:00:52.911621+00:00,1,1,5.003674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:00:57.912087+00:00,1,1,5.000466,0.0,2.0,0.0,140.0,0.0,0.0,0.0,0.0,223.97912514553641,0.39996272347417217
2026-08-09 08:01:02.918975+00:00,1,1,5.006888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:01:07.922758+00:00,1,1,5.003783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:01:12.927681+00:00,1,1,5.004923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:01:17.926764+00:00,1,1,4.999083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:02:27.961911+00:00,1,1,70.035147,7.0,21.0,646.0,2507.0,0.0,0.0,0.0,0.0,286.3704990866943,0.29984944559336757
2026-08-09 08:02:32.965888+00:00,1,1,5.003977,1.0,5.0,70.0,555.0,0.0,0.0,0.0,0.0,887.2942461566071,0.9992052321583412
2026-08-09 08:02:37.966299+00:00,1,1,5.000411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:02:42.965886+00:00,1,1,4.999587,1.0,3.0,70.0,247.0,0.0,0.0,0.0,0.0,395.2326462165775,0.6000495640939941
2026-08-09 08:02:47.968951+00:00,1,1,5.003065,3.0,3.0,238.0,238.0,0.0,0.0,0.0,0.0,380.566712605173,0.5996324253232768
2026-08-09 08:02:52.968632+00:00,1,1,4.999681,1.0,1.0,42.0,42.0,0.0,0.0,0.0,0.0,67.20428763355102,0.20001276081413996
2026-08-09 08:02:57.971397+00:00,1,1,5.002765,1.0,3.0,70.0,247.0,0.0,0.0,0.0,0.0,394.98157518892054,0.5996683833839886
2026-08-09 08:03:02.971197+00:00,1,1,4.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:07.972743+00:00,1,1,5.001546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:12.973202+00:00,1,1,5.000459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:17.976417+00:00,1,1,5.003215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:22.980674+00:00,1,1,5.004257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:27.977553+00:00,1,1,4.996879,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:32.978932+00:00,1,1,5.001379,0.0,2.0,0.0,177.0,0.0,0.0,0.0,0.0,283.1219149758497,0.39988971041786675
2026-08-09 08:03:37.981860+00:00,1,1,5.002928,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,111.93445118538584,0.19988294854533187
2026-08-09 08:03:42.988816+00:00,1,1,5.006956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:47.989169+00:00,1,1,5.000353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:52.992687+00:00,1,1,5.003518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:03:57.993386+00:00,1,1,5.000699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:02.996365+00:00,1,1,5.002979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:07.999518+00:00,1,1,5.003153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:13.002141+00:00,1,1,5.002623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:18.006387+00:00,1,1,5.004246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:23.007407+00:00,1,1,5.00102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:28.010225+00:00,1,1,5.002818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:33.012420+00:00,1,1,5.002195,1.0,1.0,70.0,107.0,0.0,0.0,0.0,0.0,171.12487617935724,0.1999122385272865
2026-08-09 08:04:38.016488+00:00,1,1,5.004068,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,111.90895087756601,0.19983741228136787
2026-08-09 08:04:43.020456+00:00,1,1,5.003968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:48.019652+00:00,1,1,4.999196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:53.024629+00:00,1,1,5.004977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:04:58.025832+00:00,1,1,5.001203,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,111.97305928193676,0.19995189157488708
2026-08-09 08:05:03.026945+00:00,1,1,5.001113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:08.031285+00:00,1,1,5.00434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:13.033784+00:00,1,1,5.002499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:18.037502+00:00,1,1,5.003718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:23.042405+00:00,1,1,5.004903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:28.045166+00:00,1,1,5.002761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:33.049492+00:00,1,1,5.004326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09 08:05:38.052857+00:00,1,1,5.003365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
